,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
Danny Shelton,DET,DT,1,39,2,1,3,0.0,0,0,0,0,0
Adrian Amos,GB,S,1,52,2,1,3,0.0,0,0,0,0,0
Adam Gotsis,JAX,DE,1,39,1,2,3,0.0,0,0,0,0,0
Brandon Williams,BAL,DT,1,35,1,2,3,0.0,0,0,0,0,0
Eric Wilson,MIN,LB,1,44,3,0,3,0.0,1,0,0,0,0
Malcolm Butler,TEN,CB,1,56,3,0,3,0.0,0,0,0,0,0
Haason Reddick,ARI,LB,1,30,2,1,3,0.0,0,0,0,0,1
Everson Griffen,DAL,DE,1,42,2,1,3,0.0,0,0,0,0,1
Malcolm Smith,CLE,LB,1,19,2,1,3,0.0,0,0,0,0,0
K.J. Wright,SEA,LB,1,44,1,2,3,0.0,0,0,0,0,0
Carlos Dunlap,CIN,DE,1,52,1,2,3,0.0,0,0,0,0,0
Chris Harris,LAC,CB,1,68,2,1,3,0.0,0,0,0,0,0
Vinny Curry,PHI,DE,1,22,1,2,3,0.5,0,0,0,0,0
Whitney Mercilus,HOU,LB,1,62,3,0,3,0.0,0,0,0,0,0
Derek Wolfe,BAL,DE,1,52,1,2,3,0.0,0,0,0,0,0
Will Compton,TEN,LB,1,26,1,2,3,0.0,0,0,0,0,0
Mario Addison,BUF,DE,1,35,3,0,3,1.0,0,0,0,0,0
Dee Ford,SF,DE,1,46,1,2,3,0.0,0,0,0,0,0
Jason Pierre-Paul,TB,LB,1,65,2,1,3,1.0,0,0,0,0,0
Dontari Poe,DAL,DT,1,36,2,1,3,0.0,0,0,0,0,0
Kerry Hyder,SF,DE,1,33,3,0,3,1.0,0,0,0,0,0
Dre Kirkpatrick,ARI,CB,1,20,3,0,3,0.0,0,0,0,0,0
Darqueze Dennard,ATL,CB,1,39,2,1,3,0.0,0,0,0,0,0
Byron Jones,MIA,CB,1,62,1,2,3,0.0,0,0,0,0,0
Bruce Irvin,SEA,LB,1,67,2,1,3,0.0,0,0,0,0,0
K'Waun Williams,SF,CB,1,47,2,1,3,0.0,0,0,0,0,0
Henry Anderson,NYJ,DE,1,32,1,2,3,0.0,0,0,0,0,0
Xavier Williams,NE,DT,1,9,1,1,2,0.0,0,0,0,0,0
Nickell Robey-Coleman,PHI,CB,1,41,2,0,2,0.0,0,0,0,0,0
Brandon Dunn,HOU,DE,1,42,1,1,2,0.0,0,0,0,0,0
DaQuan Jones,TEN,DT,1,36,1,1,2,0.0,0,0,0,0,0
Darryl Roberts,DET,CB,1,28,2,0,2,0.0,0,0,0,0,1
Shamar Stephen,MIN,DT,1,52,2,0,2,0.0,0,0,0,0,0
Xavier Rhodes,IND,CB,1,43,2,0,2,0.0,0,0,0,0,0
Fletcher Cox,PHI,DT,1,57,2,0,2,0.0,0,0,0,0,0
Jamie Collins,DET,LB,1,19,1,1,2,0.0,0,0,0,0,0
Desmond Trufant,DET,CB,1,48,2,0,2,0.0,0,0,0,0,0
Trent Murphy,BUF,DE,1,25,2,0,2,1.0,0,0,0,0,0
Michael Brockers,LAR,DE,1,53,2,0,2,1.0,0,0,0,0,0
Olivier Vernon,CLE,DE,1,42,1,1,2,0.0,0,0,0,0,0
Chandler Jones,ARI,LB,1,55,1,1,2,1.0,0,0,0,0,0
Damion Square,LAC,DT,1,15,1,1,2,0.0,0,0,0,0,0
Daniel Sorensen,KC,S,1,57,2,0,2,0.0,0,0,0,0,0
Justin Houston,IND,DE,1,34,2,0,2,1.0,0,0,0,0,0
Malik Jackson,PHI,DT,1,55,1,1,2,0.0,0,0,0,0,0
Nick Williams,DET,DT,1,41,1,1,2,0.0,0,0,0,0,0
Brandon Graham,PHI,DE,1,38,2,0,2,0.0,0,0,0,0,0
Mike Daniels,CIN,DT,1,37,1,1,2,0.0,0,0,0,0,0
Ryan Kerrigan,WAS,DE,1,22,2,0,2,2.0,0,1,0,0,0
Melvin Ingram,LAC,DE,1,54,2,0,2,0.0,0,0,1,0,1
Adrian Clayborn,CLE,DE,1,32,2,0,2,1.0,0,0,0,0,0
Johnathan Joseph,TEN,CB,1,44,2,0,2,0.0,0,0,0,0,0
Jerry Hughes,BUF,DE,1,38,2,0,2,0.0,0,1,0,0,0
Damien Wilson,KC,LB,1,20,1,1,2,0.0,0,0,0,0,0
Darius Phillips,CIN,CB,1,71,0,2,2,0.0,0,0,0,0,1
Za'Darius Smith,GB,LB,1,43,2,0,2,1.0,0,0,0,0,0
Kamalei Correa,TEN,LB,1,17,1,1,2,0.0,0,0,0,0,0
