,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Morgan Burnett,CLE,S,8,47.0,26.0,15,41,2.0,0,0,1,0
Quandre Diggs,DET/SEA,S,10,57.0,27.0,14,41,0.0,1,1,3,1
Jermaine Whitehead,CLE,S,8,45.0,31.0,10,41,0.0,1,0,1,0
Jalen Mills,PHI,S,9,43.0,29.0,12,41,0.0,0,0,1,0
Yannick Ngakoue,JAX,DE,15,75.0,36.0,5,41,8.0,4,1,1,1
A'Shawn Robinson,DET,DT,13,49.0,32.0,8,40,1.5,1,2,0,0
Leonard Floyd,CHI,LB,16,46.0,27.0,13,40,3.0,0,0,0,0
Jason McCourty,NE,CB,12,42.0,31.0,9,40,0.0,0,0,1,0
Terrell Suggs,ARI/KC,DE,15,63.0,24.0,16,40,6.5,4,1,0,0
Fletcher Cox,PHI,DT,16,55.0,26.0,14,40,3.5,3,1,0,0
Josh Norman,WAS,CB,12,46.0,33.0,7,40,1.0,1,0,1,0
Marcell Harris,SF,S,13,48.0,23.0,17,40,0.0,3,1,0,0
Kyzir White,LAC,LB,16,42.0,25.0,15,40,0.0,0,0,1,0
Donte Jackson,CAR,CB,13,48.0,32.0,8,40,0.0,0,1,3,0
Austin Calitro,JAX,LB,13,42.0,30.0,10,40,1.0,0,0,0,0
Blake Cashman,NYJ,LB,7,43.0,27.0,13,40,0.5,0,1,0,0
Roderic Teamer,LAC,S,7,44.0,30.0,10,40,1.0,0,0,1,0
Michael Davis,LAC,CB,12,43.0,31.0,8,39,0.0,0,0,2,0
